"Title","Author","indivauthor","Publication","Type","Year"
"Data-driven kindred spirits","Dave Feschuk","Y","Toronto Star","News",2026
"Why the gloves are off in hockey's analytics debate; Battle lines being drawn over advanced statistics","Stinson, Scott","Y","National Post","News",2014
"How Canucks' analytics chops stack up; Carolina is the most data-driven team in the NHL. Should Vancouver follow its lead?","Johnston, Patrick","Y","The Province","News",2025
"For the next 60 days, it'll be hockey, hockey, hockey","Boone, Mike","Y","The Gazette","News",1994
"Sports hijacked by statistics","Hickey, Pat","Y","The Gazette","News",1999
"Keeping score : Couple launches venture keeping track of hockey statistics for pool enthusiasts","Duvall, Mel","Y","Calgary Herald","News",1996
"Where's the data?:","Legates, David","Y","National Post","News",2005
"Statistics star snagged by Hockey Canada ; HOCKEY CANADA","John Matisz","Y","The London Free Press","News",2014
"NHL's Eastern finalists are deeply data driven; Perhaps it would be in Canucks' interest to beef up their analytics department","Johnston, Patrick","Y","The Vancouver Sun","News",2025
"Playing the analytics game; Statistics a challenge for Hockey Canada at international tournaments","John Chidley-Hill","Y","Chronicle - Herald","News",2016
"NHL gets an assist from AI","Silcoff, Sean","Y","The Globe and Mail","News",2019
"No one told VanBommel hockey isn't rocket science","Massey, Rob","Y","The Guelph Mercury","News",2011
"Statistics needed Series: The Deniers","Solomon, Lawrence","Y","National Post","News",2006
"The stat that just won't go away","Kevin McGran","Y","Toronto Star","News",2021
"Leafs sign deal with analytics giant SAS","McGran, Kevin","Y","Toronto Star","News",2014
"Mouat's love of statistics leads to dream job: Keeping track of NHL numbers now a career","Mary Caton","Y","The Windsor Star","News",1997
"Analytics no fix after odd timing to launch GM search","Rosie DiManno","Y","Toronto Star","News",2026
"Hockey geeks score with wireless service; Users can call up statistics galore Goes way beyond scores, schedules","Cribb, Robert","Y","Toronto Star","News",2004
"When 'being clever' crowds out the joy of the game; Major sports Analytics transformed sports. has it also made them less entertaining?","Sheinin, Dave","Y","National Post","News",2025
"What is in a number?; NHL teams are slowly embracing the idea analytics have real value","Jamieson, Jim","Y","The Province","News",2013
"Closer look at statistics reveals reason teams are successful","Boone, Mike","Y","The Gazette","News",2011
"NHL encyclopedia meets the computer; CD-ROM is a stat- lover's dream","BEACON, BILL","Y","The Gazette","News",1994
"Stats master gives hockey history online presence","Josh Rubin","Y","Toronto Star","News",1999
"Jim Corsi: The man behind the numbers","McGran, Kevin","Y","Toronto Star","News",2014
"Burnaby math whiz will run Kraken numbers; Seattle's expansion team puts its analytics research in the hands of a 24-year-old SFU statistics grad","Kuzma, Ben","Y","The Province","News",2020
"Hockey teams put analytics on ice","Kirbyson, Geoff","Y","Winnipeg Free Press","News",2014
"NHL goes against the norm with cuts to some statistics","Ireland, Joanne","Y","Edmonton Journal","News",2002
"Numbers man revolutionized NHL statistics","Stubbs, Dave","Y","Times - Colonist","News",2003
"Statistics, damned statistics","Godbout, Neil","Y","Prince George Citizen","News",2015
"The deadly `baseballing' of hockey has begun","MacGregor, Roy","Y","Kingston Whig - Standard","News",1995
"Stats say Oilers make playoffs; MacEwan instructor shares how he uses analytics to predict success in hockey","Cummings, Madeleine","Y","Edmonton Examiner","News",2017
"Lies, damned lies, and sporting statistics","Lauzon, Dave","Y","Daily News","News",2000
"Luck trumps analytics in NHL playoffs","Stinson, Scott","Y","Edmonton Journal","News",2015
"Analytics are fine, but Jets need goals","Stinson, Scott","Y","Star - Phoenix","News",2015
"Statistics prove hockey is lunacy","Abel, Allen","Y","The Globe and Mail","News",1977
"Burke debunks Moneyball mania","Zwolinski, Mark","Y","Toronto Star","News",2012
"One of hockey television's unsung heroes; Statistician makes numbers matter to viewers","Radley, Scott","Y","The Spectator","News",2004
"Hockey a late convert to the statistics game","Stinson, Scott","Y","Star - Phoenix","News",2014
"Advance statistics wave of the future","Staples, David","Y","Edmonton Journal","News",2010
"; Just the stats please: how advanced statistics are changing; hockey","Crown, Mark","Y","The Camrose Canadian","News",2014
"Hockey close to a statistics revolution","Wilson, Kent","Y","Calgary Herald","News",2011
"Oilers up against dreaded statistics","Stock, Curtis","Y","Edmonton Journal","News",1991
"TRACKING STATS; Maple Leafs turn to analytics to get edge; Team has partnered with high-tech firm SAS","Whyno, Stephen","Y","Chronicle - Herald","News",2014
"Hockey season is never quite over for these table-top combatants","Nick Auf Der Maur","Y","The Gazette","News",1985
