Title,Subtitle,Author,indivauthor,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
Data-driven kindred spirits,"New coach Hiller a further extension of CEO, GM's focus on analytics",Dave Feschuk,Y,Toronto Star,News,,,,2026-06-18,2026-06-18,S.1,,,03190781,,,ENG,https://www.proquest.com/docview/3353691073?accountid=14771&bdid=165203&_bd=h80HvJ0jlMxe1H%2B8PkfjOvZGyt0%3D,
Why the gloves are off in hockey's analytics debate; Battle lines being drawn over advanced statistics,,"Stinson, Scott",Y,National Post,News,,,,2014-10-06,2014-10-06,A.1,,,14868008,,,ENG,https://www.proquest.com/docview/1609035873?accountid=14771&bdid=165203&_bd=luu9yH8LAsXT2GA6O0XgiVVRFcM%3D,
How Canucks' analytics chops stack up; Carolina is the most data-driven team in the NHL. Should Vancouver follow its lead?,,"Johnston, Patrick",Y,The Province,News,,,,2025-05-28,2025-05-28,A.38,,,,,,ENG,https://www.proquest.com/docview/3212939598?accountid=14771&bdid=165203&_bd=acwTX6Lry9USQvg4YrN2Ze6eSMQ%3D,
"For the next 60 days, it'll be hockey, hockey, hockey",[FINAL Edition],"Boone, Mike",Y,The Gazette,News,,,,1994-04-17,1994-04-17,F.4,,F4,03841294,,,ENG,https://www.proquest.com/docview/432617390?accountid=14771&bdid=165203&_bd=0HJ%2B6opbmCo45aMhBp63X6CPD%2BM%3D,
Sports hijacked by statistics,[Final Edition],"Hickey, Pat",Y,The Gazette,News,,,,1999-05-02,1999-05-02,B.2,,B2,03841294,,,ENG,https://www.proquest.com/docview/433492137?accountid=14771&bdid=165203&_bd=NlUH3IsMTLP0wZau9FuOSTtAakM%3D,
Keeping score : Couple launches venture keeping track of hockey statistics for pool enthusiasts,[FINAL Edition],"Duvall, Mel",Y,Calgary Herald,News,,,,1996-11-25,1996-11-25,C.1,,C.1,08281815,,,ENG,https://www.proquest.com/docview/244537498?accountid=14771&bdid=165203&_bd=yzty7p3E4izrT3C4ktEyZbH0rH8%3D,
Where's the data?:,[National Edition],"Legates, David",Y,National Post,News,,,,2005-09-20,2005-09-20,FP.19,,FP19,14868008,,,ENG,https://www.proquest.com/docview/330475500?accountid=14771&bdid=165203&_bd=WC%2FCXPaYyTGRIktTNrRR1D9ivuM%3D,
Statistics star snagged by Hockey Canada ; HOCKEY CANADA,,John Matisz,Y,The London Free Press,News,,,,2014-10-10,2014-10-10,D.2,,,08390681,,,ENG,https://www.proquest.com/docview/2230087791?accountid=14771&bdid=165203&_bd=WwKc2H53EdvpJ8XeOPJoyGK8k6M%3D,
NHL's Eastern finalists are deeply data driven; Perhaps it would be in Canucks' interest to beef up their analytics department,,"Johnston, Patrick",Y,The Vancouver Sun,News,,,,2025-05-28,2025-05-28,NP.9,,,08321299,,,ENG,https://www.proquest.com/docview/3212939580?accountid=14771&bdid=165203&_bd=0vAe4hi8fx4xUBvBKHsv%2B%2BhLtVg%3D,
Playing the analytics game; Statistics a challenge for Hockey Canada at international tournaments,,John Chidley-Hill,Y,Chronicle - Herald,News,,,,2016-04-08,2016-04-08,C3,,,08281807,,,ENG,https://www.proquest.com/docview/1779670006?accountid=14771&bdid=165203&_bd=DGwQC%2BM5Tyxg4Aqpy7zcKBR4%2BeM%3D,
NHL gets an assist from AI,"Insight from sports data analytics startup Sportlogiq is changing the way pro hockey is played, strategized, scouted and analyzed","Silcoff, Sean",Y,The Globe and Mail,News,,,,2019-04-22,2019-04-22,B.1,,,03190714,,,ENG,https://www.proquest.com/docview/2211890987?accountid=14771&bdid=165203&_bd=wS6quFGyq4qW6rBTs9e%2Baz3f%2BFU%3D,
No one told VanBommel hockey isn't rocket science,Guelph Gryphon goalie fights for a starting position while analyzing Mars data,"Massey, Rob",Y,The Guelph Mercury,News,,,,2011-09-29,2011-09-29,B.5,,,08416834,,,ENG,https://www.proquest.com/docview/894726817?accountid=14771&bdid=165203&_bd=JJgBYrXeFVU%2FuP9DzeIkdIE2Yr8%3D,
Statistics needed Series: The Deniers,[National Edition],"Solomon, Lawrence",Y,National Post,News,,,,2006-11-28,2006-11-28,FP.15,,FP15,14868008,,,ENG,https://www.proquest.com/docview/330451905?accountid=14771&bdid=165203&_bd=Fa9qgx7YZlci4DqMjO%2F17D7440E%3D,
The stat that just won't go away,There's (a lot) more minus than plus when it comes to hockey's absolute worst statistic,Kevin McGran,Y,Toronto Star,News,,,,2021-04-03,2021-04-03,S.3,,,03190781,,,ENG,https://www.proquest.com/docview/2508086885?accountid=14771&bdid=165203&_bd=ZksK%2BLkMSbwAPZnRvDDk4RM7JR4%3D,
Leafs sign deal with analytics giant SAS,Company better known for analyzing financial data makes leap into advanced hockey stats,"McGran, Kevin",Y,Toronto Star,News,,,,2014-10-16,2014-10-16,S.1,,,03190781,,,ENG,https://www.proquest.com/docview/1612129770?accountid=14771&bdid=165203&_bd=30DRvabFMLuT4vWgzWppW%2F%2FX94E%3D,
Mouat's love of statistics leads to dream job: Keeping track of NHL numbers now a career,[FINAL Edition],Mary Caton,Y,The Windsor Star,News,,,,1997-09-10,1997-09-10,D.4,,D.4,,,,ENG,https://www.proquest.com/docview/254248867?accountid=14771&bdid=165203&_bd=Mve8i7MJNAZTg12poSBOWQ11bWI%3D,
Analytics no fix after odd timing to launch GM search,,Rosie DiManno,Y,Toronto Star,News,,,,2026-04-01,2026-04-01,A.14,,,03190781,,,ENG,https://www.proquest.com/docview/3324039632?accountid=14771&bdid=165203&_bd=WJA2Sf9ryOqU12c1MsvOl9Sg18A%3D,
"Hockey geeks score with wireless service; Users can call up statistics galore Goes way beyond scores, schedules",[ONT Edition],"Cribb, Robert",Y,Toronto Star,News,,,,2004-05-06,2004-05-06,H.05,,H05,03190781,,,ENG,https://www.proquest.com/docview/438706593?accountid=14771&bdid=165203&_bd=imMyLT2fBM1j7qza3mnfMQIaXyg%3D,
When 'being clever' crowds out the joy of the game; Major sports Analytics transformed sports. has it also made them less entertaining?,,"Sheinin, Dave",Y,National Post,News,,,,2025-04-07,2025-04-07,FP.1,,,14868008,,,ENG,https://www.proquest.com/docview/3187321415?accountid=14771&bdid=165203&_bd=QGjfo22Ts313Ui13Z2uULdCB%2FmU%3D,
What is in a number?; NHL teams are slowly embracing the idea analytics have real value,,"Jamieson, Jim",Y,The Province,News,,,,2013-11-24,2013-11-24,B.5,,,,,,ENG,https://www.proquest.com/docview/1461314987?accountid=14771&bdid=165203&_bd=pcJV1lk%2BVxvBfthpbLlujIdMJt0%3D,
Closer look at statistics reveals reason teams are successful,[1],"Boone, Mike",Y,The Gazette,News,,,,2011-11-24,2011-11-24,B.11,,,03841294,,,ENG,https://www.proquest.com/docview/906158002?accountid=14771&bdid=165203&_bd=ue6ms6LaYOY%2B502qekBbBAHQSbM%3D,
NHL encyclopedia meets the computer; CD-ROM is a stat- lover's dream,[FINAL Edition],"BEACON, BILL",Y,The Gazette,News,,,,1994-12-18,1994-12-18,D.3,,D3,03841294,,,ENG,https://www.proquest.com/docview/432763991?accountid=14771&bdid=165203&_bd=LPcmsp41gKhPhrmtDJ3MGJ%2Ft9M0%3D,
Stats master gives hockey history online presence,[1 Edition],Josh Rubin,Y,Toronto Star,News,,,,1999-06-09,1999-06-09,1,,1,03190781,,,ENG,https://www.proquest.com/docview/437968694?accountid=14771&bdid=165203&_bd=i75SUEPaSZZIKO%2BEHxDg%2FBlokz4%3D,
